year,name
1956,Platters
1956,Gogi
1956,Elvis
1956,Nelson
1957,Diamonds
1957,Pat
1957,Tab
1957,Jimmy
1957,Elvis
1958,Perez
1958,David
1958,Elvis
1958,Everly
1958,Domenico
1959,Paul
1959,Bobby
1959,Lloyd
1959,Johnny
1959,
1960,Jim
1960,Percy
1960,Mark
1960,Johnny
1960,Everly
1961,Highwaymen
1961,Bobby
1961,Del
1961,Patsy
1961,Roy
1962,David
1962,Ray
1962,Bobby
1962,Dee Dee
1962,Mr. Acker
1963,Cascades
1963,Chiffons
1963,Beach
1963,Skeeter
1963,Jimmy Gilmer and The
1964,Beatles
1964,Beach
1964,Roy
1964,Louis
1965,We
1965,Four
1965,Rolling
1965,Righteous
1965,Sam The Sham and The
1966,Four
1966,Association
1966,Sgt. Barry
1966,Righteous
1966,? and The
1967,Lulu
1967,Monkees
1967,Box
1967,Association
1967,Bobby
1968,Beatles
1968,Rascals
1968,Otis
1968,Paul
1968,Bobby
1969,Archies
1969,Temptations
1969,Rolling
1969,Fifth
1969,Sly and The Family
1970,Guess
1970,Carpenters
1970,B.J.
1970,Edwin
1970,Simon and
1971,Osmonds
1971,Bee
1971,Carole
1971,Rod
1971,Three Dog
1972,Nilsson
1972,Don
1972,Roberta
1972,Sammy Davis
1972,Gilbert
1973,Jim
1973,Marvin
1973,Roberta
1973,Tony Orlando and
1973,Paul
1973,Wings
1974,Redbone
1974,Jackson
1974,Terry
1974,Barbra
1974,Love Unlimited
1975,Elton
1975,Frankie
1975,Freddy
1975,Glen
1975,Captain and
1976,Wings
1976,Wild
1976,Four
1976,Johnnie
1976,Elton
1976,Kiki
1977,Hot
1977,Emotions
1977,Andy
1977,Rod
1977,Barbra
1978,Exile
1978,Bee
1978,Andy
1978,Debby
1979,Chic
1979,Knack
1979,Rod
1979,Donna
1979,Peaches and
1980,Blondie
1980,Pink
1980,Michael
1980,Olivia
1980,Captain and
1981,Kim
1981,John
1981,Kenny
1981,Rick
1981,Diana
1981,Lionel
1982,Survivor
1982,J. Geils
1982,Olivia
1982,Joan Jett and The
1982,Paul
1982,Stevie
1983,Police
1983,Irene
1983,Men At
1983,Michael
1984,Prince
1984,Tina
1984,Phil
1984,Kenny
1984,Paul
1984,Michael
1985,Wham!
1985,Madonna
1985,Foreigner
1985,Chaka
1986,Klymaxx
1986,Mr.
1986,Lionel
1986,Dionne and
1986,Patti
1986,Michael
1987,Heart
1987,Bangles
1987,Starship
1987,Gregory
1987,Whitney
1988,INXS
1988,Rick
1988,Guns N'
1988,George
1989,Poison
1989,Chicago
1989,Bobby
1989,Paula
1989,Janet
1990,Madonna
1990,Roxette
1990,Bell Biv
1990,Sinead
1990,Wilson
1991,Timmy
1991,Bryan
1991,Paula
1991,Color Me
1991,C+C Music
1992,TLC
1992,Kris
1992,Boyz II
1992,Sir
1992,Vanessa
1993,Silk
1993,UB40
1993,Tag
1993,Janet
1993,Whitney
1994,All-4-One
1994,Ace Of
1994,Boyz II
1994,Celine
1994,Mariah
1995,TLC
1995,Seal
1995,Coolio
1995,Boyz II
1996,Celine
1996,Los Del
1996,Mariah
1996,Tony Rich
1996,Boyz II
1997,Jewel
1997,Elton
1997,Puff
1997,Toni
1997,Faith
1998,Next
1998,LeAnn
1998,Shania
1998,Savage
1998,Brandy and
1999,TLC
1999,Cher
1999,Monica
1999,Britney
1999,Whitney
2000,Joe
2000,Faith
2000,Vertical
2000,Santana
2000,Rob
2000,The Product
2001,Janet
2001,Train
2001,Lifehouse
2001,Alicia
2001,Jennifer
2001,Ja
2002,Nelly
2002,Ashanti
2002,Nickelback
2002,The
2002,Kelly
2003,50
2003,R.
2003,Sean
2003,3 Doors
2003,Beyonce
2003,Jay-Z
2004,Usher
2004,Maroon
2004,Alicia
2004,OutKast
2004,Sleepy
2004,Lil
2004,Ludacris
2005,Mario
2005,Gwen
2005,Mariah
2005,Kelly
2005,Ciara
2005,Missy
2006,Sean
2006,James
2006,Daniel
2006,Shakira
2006,Wyclef
2006,Nelly
2006,Timbaland
2007,Fergie
2007,Beyonce
2007,Rihanna
2007,Jay-Z
2007,T-Pain
2007,Yung
2007,Gwen
2007,Akon
2008,Alicia
2008,Leona
2008,Flo
2008,T-Pain
2008,Timbaland
2008,OneRepublic
2008,Lil
2008,Static
2009,Lady
2009,Taylor
2009,The Black Eyed
2009,Colby
2010,Ke$ha
2010,Train
2010,Lady
2010,Usher
2010,will.i.am
2010,Katy
2010,Snoop
2011,Adele
2011,Katy
2011,Kanye
2011,LMFAO
2011,Lauren
2011,GoonRock
2011,Pitbull
2011,Ne-Yo
2011,Afrojack
2011,Nayer
2012,Ellie
2012,Carly Rae
2012,Gotye
2012,Kimbra
2012,fun.
2012,Janelle
2012,Maroon
2012,Wiz
2013,Baauer
2013,Imagine
2013,Macklemore
2013,Ryan
2013,Wanz
2013,Robin
2013,T.I.
2013,Pharrell
2013,Ray
